RLOI ID|Value|Units|Longtitude| Latitude|Threshold Comment|Short Name|Description|Type|ObsFloodYear|ObsFloodMonth|Source
2234|4.5|mALD|-1.884187|52.144464|Isolated properties in Abbotts Salford, Cleeve Prior and Offenham. The B4510. Low lying properties near to George Billington Lock, low lying properties on Anchor Lane & properties near to Harvington Mill.|Property at Cleeve Prior|Flooding to isolated properties Cleeve Prior|Property Impact|||Flood Resiliance
2234|4.5|mALD|-1.927887|52.110686|Isolated properties in Abbotts Salford, Cleeve Prior and Offenham. The B4510. Low lying properties near to George Billington Lock, low lying properties on Anchor Lane & properties near to Harvington Mill.|Property at Offenham|Flooding to isolated properties in Offenham|Property Impact|||Flood Resiliance
2234|4.5|mALD|-1.901575|52.12323|Isolated properties in Abbotts Salford, Cleeve Prior and Offenham. The B4510. Low lying properties near to George Billington Lock, low lying properties on Anchor Lane & properties near to Harvington Mill.|Flooding on B4510|Flooding on the B4510|Road Impact|||Flood Resiliance
2234|4.5|mALD|-1.906104|52.123303|Isolated properties in Abbotts Salford, Cleeve Prior and Offenham. The B4510. Low lying properties near to George Billington Lock, low lying properties on Anchor Lane & properties near to Harvington Mill.|Property at Anchor Lane|Flooding to low lying properties on Anchor Lane and properties near to Harvington Mill.|Property Impact|||Flood Resiliance
2234|4.5|mALD|-1.905613|52.130001|Isolated properties in Abbotts Salford, Cleeve Prior and Offenham. The B4510. Low lying properties near to George Billington Lock, low lying properties on Anchor Lane & properties near to Harvington Mill.|Property at Harvington Mill|Flooding to properties near to Harvington Mill.|Property Impact|||Flood Resiliance
2081|7.1|mALD|-2.231583|52.147646|Callow End: 6 properties Beauchamp Lane & 4 properties Lower Ferry Lane flooded|Property at Beauchamp Lane|Flooding to properties at Beauchamp Lane, Callow End|Property Impact|||Flood Resiliance
2081|7.1|mALD|-2.236915|52.136828|Callow End: 6 properties Beauchamp Lane & 4 properties Lower Ferry Lane flooded|Property at Lower Ferry Lane|Flooding to properties at Lower Ferry Lane, Callow End|Property Impact|||Flood Resiliance
2081|6|mALD|-2.22366|52.141598|Court Meadow Caravan Park begins to flood and water at base of Powick flood bank|Property flooding possible|Flooding to property possible|Property Impact|||Flood Resiliance
2081|6|mALD|-2.245176|52.163381|Court Meadow Caravan Park begins to flood and water at base of Powick flood bank|Defence at Powick|Water at base of Powick flood bank|Defence Impact|||Flood Resiliance
2081|6.8|mALD|-2.209224|52.097602|Severn Stoke floodbank|Defence at Severn Stoke|Flooding at Severn Stoke floodbank|Defence Impact|||Flood Resiliance
2175|0.76|mALD|-2.150871|51.721316|Up to 6 properties affected in Chalford Bottom|Property at Chalford Bottoms|Flooding to properties at Chalford Bottoms|Property Impact|||Flood Resiliance
2086|3.26|mALD|-2.722632|52.361887|Linney car park in Ludlow floods|Flooding at car park|Flooing at car park in Ludlow|Location Impact|||Flood Resiliance
2092|5.95|mALD|-2.23154|52.193695|Top of Hylton Road demountable defence (lowest part of scheme with 8 x 150mm slats) ~50 properties in FW area|Defence at Hylton Road|Water to top of Hylton Road defences. Flooding to properties in area|Defence Impact|||Flood Resiliance
2092|4.4|mALD|-2.23154|52.193695|Patrol commences along Hylton Road|Patrol commences Hylton Road|Patrol commences along Hylton Road|Road Impact|||Flood Resiliance
2092|4.5|mALD|-2.23154|52.193695|Highways monitor surface water along Hylton Road|Flooding on Hylton Road|Flooding on Hylton Road from surface water|Road Impact|||Flood Resiliance
2092|4.7|mALD|-2.237463|52.203396|Flooding starts upstream end of Pitchcroft|Flooding at The Pitchcroft|Flooding at upstream end of The Pitchcroft|Location Impact|||Flood Resiliance
2092|4.75|mALD|-2.232764|52.205046|Waterworks Road properties & Pitchcroft Lane|Property at Pitchcroft Lane|Flooiding to properties on Pitchcroft Lane|Property Impact|||Flood Resiliance
2092|4.75|mALD|-2.233064|52.206578|Waterworks Road properties & Pitchcroft Lane|Property at Waterworks Road|Flooiding to properties on Waterwork Road|Property Impact|||Flood Resiliance
2092|5.4|mALD|-2.227456|52.195727|Severn Terrace, Stephenson Rd, Lyttleton St, North Parade,|Flooding on Severn Terrace|Flooding to Severn Terrace|Road Impact|||Flood Resiliance
2092|5.4|mALD|-2.229867|52.201726|Severn Terrace, Stephenson Rd, Lyttleton St, North Parade,|Flooding on Stephenson Road|Flooding to Stephenson Road|Road Impact|||Flood Resiliance
2092|5.4|mALD|-2.231889|52.204839|Severn Terrace, Stephenson Rd, Lyttleton St, North Parade,|Flooding on Lyttleton Street|Flooding to Lyttleton Street|Road Impact|||Flood Resiliance
2092|5.4|mALD|-2.226091|52.19159|Severn Terrace, Stephenson Rd, Lyttleton St, North Parade,|Flooding on North Parade|Flooding to North Parade|Road Impact|||Flood Resiliance
2092|5|mALD|-2.226925|52.192039|Newport Street (via drains), Park View Terrace, The Butts and King Stephen’s Mount. Camp House Pub and Camp Lane properties, Bevere. Low property and outbuildings Hawford Wood|Flooding on Newport Street|Flooding on Newport Street through drains|Road Impact|||Flood Resiliance
2092|5|mALD|-2.234033|52.210898|Newport Street (via drains), Park View Terrace, The Butts and King Stephen’s Mount. Camp House Pub and Camp Lane properties, Bevere. Low property and outbuildings Hawford Wood|Flooding on Park View Terrace|Flooding on Park View Terrace|Road Impact|||Flood Resiliance
2092|5|mALD|-2.226074|52.193297|Newport Street (via drains), Park View Terrace, The Butts and King Stephen’s Mount. Camp House Pub and Camp Lane properties, Bevere. Low property and outbuildings Hawford Wood|Flooding on The Butts|Flooding on The Butts and King Stephen’s Mount|Road Impact|||Flood Resiliance
2092|5|mALD|-2.239957|52.202418|Newport Street (via drains), Park View Terrace, The Butts and King Stephen’s Mount. Camp House Pub and Camp Lane properties, Bevere. Low property and outbuildings Hawford Wood|Flooding on King Stephen's Mount|Flooding on King Stephen’s Mount|Road Impact|||Flood Resiliance
2092|5|mALD|-2.243683|52.234306|Newport Street (via drains), Park View Terrace, The Butts and King Stephen’s Mount. Camp House Pub and Camp Lane properties, Bevere. Low property and outbuildings Hawford Wood|Property at Camp Lane|Flooding on properties on Camp Lane, Bevere|Property Impact|||Flood Resiliance
2092|5|mALD|-2.226594|52.243776|Newport Street (via drains), Park View Terrace, The Butts and King Stephen’s Mount. Camp House Pub and Camp Lane properties, Bevere. Low property and outbuildings Hawford Wood|Property at Hawford Wood|Flooing to low property and outbuildings at Hawford Wood|Property Impact|||Flood Resiliance
2092|5.25|mALD|-2.227769|52.192908|Croft Road starts to flood|Flooding at Croft Road|Flooding on Croft Road commences|Road Impact|||Flood Resiliance
2092|5.45|mALD|-2.229397|52.191269|A44 New Rd; A449 North Quay, Hylton Rd Gyratory & Tybridge St (via sewer surcharge) start to flood|Flooding on A44|Flooding on A44 New Road|Road Impact|||Flood Resiliance
2092|5.45|mALD|-2.227744|52.192848|A44 New Rd; A449 North Quay, Hylton Rd Gyratory & Tybridge St (via sewer surcharge) start to flood|Flooding on A449|Flooing on A449 North Quay|Road Impact|||Flood Resiliance
2092|5.45|mALD|-2.227487|52.191138|A44 New Rd; A449 North Quay, Hylton Rd Gyratory & Tybridge St (via sewer surcharge) start to flood|Flooding on Hylton Road|Flooding on Hylton Road Gyratory|Road Impact|||Flood Resiliance
2092|5.45|mALD|-2.231187|52.190393|A44 New Rd; A449 North Quay, Hylton Rd Gyratory & Tybridge St (via sewer surcharge) start to flood|Flooing on Tybridge Street|Flooding on Tybridge St from sewer surcharge|Road Impact|||Flood Resiliance
2178|5.68|mALD|-2.417513|52.288756|Stanford Brdge Caravan Park flooded up to caravan wheels|Property at Stanford Bridge|Flooding to property at Stanford Bridge|Property Impact|||Flood Resiliance
2174|2.63|mALD|-2.100314|51.912755|Princess Elizabeth Way starts to flood from overtopping of local access bridges|Flooding on Princess Elizabeth Way|Flooding on PrInces Elizabeth Way from overtopping of local access bridges|Road Impact|||Flood Resiliance
2174|2.7|mALD|-2.101607|51.913408|Kierle Wall starts to overtop & 39 Frank Brookes Road starts to flood|Flooding on Frank Brookes Road|Flooding to property on Frank Brookes Road|Property Impact|||Flood Resiliance
2169|1.6|mALD|-2.373906|52.664886|Properties affected on Church Street, possibly also the corner of Beech Drive.|Property on Church Street|Flooding to properties on Church Street, possibly corner of Beech Drive|Property Impact|||Flood Resiliance
4027|1.2|mALD|-2.956918|52.043022|Out of bank upstream of Peterchurch|Flooding at Peterchurch|Flooding upstream of Peterchurch|Location Impact|||Flood Resiliance
2167|3.7|mALD|-2.252709|51.892446|FALLING: Low lying property on Base Lane, Sandhurst  should be clear from flooding|Property on Base Lane|Flooding to low lying properties on Base Lane|Property Impact|||Flood Resiliance
2167|3.98|mALD|-1.506263|51.632149|A417 Over to Maisemore affected: FLUVIAL & TIDAL|Flooding on A417|Flooding on A417 Over to Maisemore|Road Impact|||Flood Resiliance
2167|4|mALD|-2.252709|51.892446|RISING: Low lying property on Base Lane, Sandhurst. Flood banks upstream of gauge overtop|Property on Base Lane|Flooding to low lying property on Base Lane, Sandhurst|Property Impact|||Flood Resiliance
